Date : 2022-01-25 19:15:54
Directory : c:\Users\1\Desktop\LMS-UI
Total : 247 files,  64752 codes, 557 comments, 748 blanks, all 66057 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ku.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\lt.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\lv.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\nb.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ne.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\nl.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\no.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\oc.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\pl.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\pt-br.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\pt.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ro.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ru.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\si.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sk.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sl.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sq.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sr-latn.js                  | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sr.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\sv.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\th.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\tk.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\tr.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\tt.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\ug.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\uk.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\uz.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\vi.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\zh-cn.js                    | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\build\translations\zh.js                       | JavaScript |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\package.json                                   | JSON       |         41 |          0 |          0 |         41 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\sample\index.html                              | HTML       |        118 |          3 |          9 |        130 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\sample\styles.css                              | CSS        |        397 |         28 |         76 |        501 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\src\ckeditor.js                                | JavaScript |         90 |          6 |          5 |        101 |
| c:\Users\1\Desktop\LMS-UI\ckeditor5\webpack.config.js                              | JavaScript |         77 |          9 |         11 |         97 |
| c:\Users\1\Desktop\LMS-UI\package-lock.json                                        | JSON       |     43,817 |          0 |          1 |     43,818 |
| c:\Users\1\Desktop\LMS-UI\package.json                                             | JSON       |         83 |          0 |          0 |         83 |
| c:\Users\1\Desktop\LMS-UI\public\images\BLOCKCHAINSIGNUP.svg                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\abc.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\certif.svg                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\certificate-icon.svg               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\cours.svg                          | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\darsad-placeholder.svg             | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\done-quiz-icons.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\dore-haye-darhale-yad-giri.svg     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\dore-haye-gozarande-shode.svg      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\dore-haye-mojood.svg               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\edit-image.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\edit-profile.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\exit.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\haghe-tadris.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\keshoyeee-sabz.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\keshoyeee.svg                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\logoaqua.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\my-certificates.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\paid-recipts.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\profile.svg                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\quiz-haye-gozarande.svg            | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\quiz-haye-mojood.svg               | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\quiz.svg                           | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\recipt-icon.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\security.svg                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\unpaid-recipts.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\upload-icon.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\upload.svg                         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\uploaded-icon.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\academy\verification-send-icon.svg         | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\asdasdasd.svg                              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\bit.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\block.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\blockchainerror.svg                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\bnb.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\brain.svg                                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\cake.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\eth.svg                                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\images\logo.svg                                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\public\index.html                                        | HTML       |         62 |         48 |         16 |        126 |
| c:\Users\1\Desktop\LMS-UI\public\manifest.json                                     | JSON       |         25 |          0 |          1 |         26 |
| c:\Users\1\Desktop\LMS-UI\src\App.test.js                                          | JavaScript |          7 |          0 |          2 |          9 |
| c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\Footer.css                           | CSS        |         97 |          1 |         16 |        114 |
| c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\Footer.js                            | JavaScript |         64 |         19 |          1 |         84 |
| c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\Navbar.js                            | JavaScript |        190 |          0 |         12 |        202 |
| c:\Users\1\Desktop\LMS-UI\src\blog\ExtraPages\NoMatch.js                           | JavaScript |        225 |          0 |          6 |        231 |
| c:\Users\1\Desktop\LMS-UI\src\blog\common\CustomButton.js                          | JavaScript |         30 |          0 |          3 |         33 |
| c:\Users\1\Desktop\LMS-UI\src\blog\common\FavoritePost.js                          | JavaScript |        137 |          0 |          7 |        144 |
| c:\Users\1\Desktop\LMS-UI\src\blog\common\LoadingScreen.js                         | JavaScript |         18 |          0 |          6 |         24 |
| c:\Users\1\Desktop\LMS-UI\src\blog\common\PostCard.js                              | JavaScript |         62 |          0 |          6 |         68 |
| c:\Users\1\Desktop\LMS-UI\src\blog\common\Title.js                                 | JavaScript |         17 |          0 |          6 |         23 |
| c:\Users\1\Desktop\LMS-UI\src\blog\posts\Home.js                                   | JavaScript |         94 |          0 |          0 |         94 |
| c:\Users\1\Desktop\LMS-UI\src\blog\posts\PostSingle.css                            | CSS        |          8 |          0 |          1 |          9 |
| c:\Users\1\Desktop\LMS-UI\src\blog\posts\PostSingle.js                             | JavaScript |        322 |          0 |          8 |        330 |
| c:\Users\1\Desktop\LMS-UI\src\blog\posts\PostsArchieve.js                          | JavaScript |         36 |          0 |          3 |         39 |
| c:\Users\1\Desktop\LMS-UI\src\blog\utils\Api.js                                    | JavaScript |         42 |          0 |          2 |         44 |
| c:\Users\1\Desktop\LMS-UI\src\blog\utils\Config.js                                 | JavaScript |          3 |          0 |          0 |          3 |
| c:\Users\1\Desktop\LMS-UI\src\blog\utils\utils.js                                  | JavaScript |         90 |          2 |          4 |         96 |
| c:\Users\1\Desktop\LMS-UI\src\contexts\CurrentUserContext.js                       | JavaScript |         51 |          0 |          6 |         57 |
| c:\Users\1\Desktop\LMS-UI\src\index.css                                            | CSS        |         52 |          0 |          2 |         54 |
| c:\Users\1\Desktop\LMS-UI\src\index.js                                             | JavaScript |         20 |          3 |          4 |         27 |
| c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\ContactUs.js                        | JavaScript |        240 |          0 |          9 |        249 |
| c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\Loading.js                          | JavaScript |         44 |          0 |          3 |         47 |
| c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\NoMatch.js                          | JavaScript |        225 |          0 |          6 |        231 |
| c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\PrivacyPolicy.js                    | JavaScript |        203 |          0 |          7 |        210 |
| c:\Users\1\Desktop\LMS-UI\src\pages\ExtraPages\TermsOfService.js                   | JavaScript |        215 |          0 |          6 |        221 |
| c:\Users\1\Desktop\LMS-UI\src\pages\aboutus\AboutUs.js                             | JavaScript |         32 |          0 |          1 |         33 |
| c:\Users\1\Desktop\LMS-UI\src\pages\aboutus\Group.js                               | JavaScript |        177 |          3 |          4 |        184 |
| c:\Users\1\Desktop\LMS-UI\src\pages\aboutus\Stuff.js                               | JavaScript |        175 |          6 |          7 |        188 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\Academy.js                             | JavaScript |        193 |          6 |          9 |        208 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\ChangePassword.js                      | JavaScript |        314 |          9 |          8 |        331 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\EditProfile.js                         | JavaScript |        301 |          8 |          8 |        317 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\Navbar\Navbar.js                       | JavaScript |         89 |          0 |          5 |         94 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\UserPanel.css                          | CSS        |         30 |          1 |          4 |         35 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\becomeTeacher\BecomeTeacher.js         | JavaScript |         59 |          0 |          1 |         60 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\certificates\CertificateSingle.js      | JavaScript |        257 |          0 |          8 |        265 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\certificates\MyCertificates.js         | JavaScript |        179 |          0 |          4 |        183 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\comments\AllComments.js                | JavaScript |        159 |          0 |          4 |        163 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\AccardeonRows.js                | JavaScript |        351 |          0 |          5 |        356 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\OverLayComponent.js             | JavaScript |         73 |          0 |          2 |         75 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\UserDashboard.js                | JavaScript |        328 |         35 |          3 |        366 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\certif.svg                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\cours.svg                       | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\edit-image.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\edit-profile.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\exit.svg                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\haghe-tadris.svg                | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\keshoyeee-sabz.svg              | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\keshoyeee.svg                   | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\logoaqua.svg                  | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\profile.svg                     | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\quiz.svg                        | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\recipt-icon.svg                 | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\security.svg                    | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\common\upload.svg                      | XML        |          1 |          0 |          0 |          1 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\AvailableCourses.js            | JavaScript |        209 |          0 |          5 |        214 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\CourseVideos.js                | JavaScript |        245 |          0 |          8 |        253 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\Courses.css                    | CSS        |          7 |          1 |          2 |         10 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\CoursesInProgress.js           | JavaScript |        200 |          0 |          5 |        205 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\PassedCourses.js               | JavaScript |        128 |          0 |          5 |        133 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\VIdeoSIngle.js                 | JavaScript |        210 |         39 |         11 |        260 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\teacher\EditCourse.css         | CSS        |         40 |          1 |          5 |         46 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\teacher\EditCourse.js          | JavaScript |        373 |          2 |          5 |        380 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\courses\teacher\TeacherCourses.js      | JavaScript |        205 |          0 |          5 |        210 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\discounts\Discounts.css                | CSS        |         17 |          1 |          2 |         20 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\discounts\Discounts.js                 | JavaScript |        159 |          0 |          4 |        163 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\discounts\EditDiscount.js              | JavaScript |        280 |          2 |          6 |        288 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\discounts\NewDiscount.js               | JavaScript |        278 |          1 |          4 |        283 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\payment\Payment.js                     | JavaScript |        184 |          0 |          2 |        186 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\post\EditPost.js                       | JavaScript |        380 |          2 |          4 |        386 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\post\EditPostStatus.js                 | JavaScript |        301 |          0 |          8 |        309 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\post\NewPost.js                        | JavaScript |        333 |          2 |          7 |        342 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\post\PostPreview.js                    | JavaScript |        224 |          0 |          5 |        229 |
| c:\Users\1\Desktop\LMS-UI\src\pages\academy\post\Posts.js                          | JavaScript |        208 |          0 |          7 |        215 |
